ALMACEN,TIENDA,NOMBRE,LATITUD,LONGITUD,TARIMAS
95500,54045,54045 WENCESLAO SANDOVAL,21.230206,-104.901204,2
91000,19079,19079 VILLAS SAN JOSE,19.2473,-103.75211,1
93100,31029,31029 POETAS,20.67037485,-105.210627,1
93100,31063,31063 GUAYABITOS,21.02593,-105.26569,1
93100,31076,31076 SIMON ANDRADE,20.711083,-105.210389,1
93100,31161,31161 LOPEZ COTILLA,20.53268,-104.79783,1
93100,31128,31128 BUGAMBILIAS,20.62382,-105.21498,1
91000,12057,12057 TLAXCALA,18.941355,-103.970476,1
91000,14002,14002 GAS OLAS ALTAS,19.11970266,-104.3632848,2
93100,31038,31038 PIRULI,20.66219054,-105.1982633,2
93100,31056,31056 EL CALOSO,20.60493087,-105.2273513,1
93100,31122,31122 LOMAS DEL PROGRESO,20.673143,-105.200819,2
91000,13052,13052 LIBERTAD PIHUAMO,19.253569,-103.380694,2
91000,19118,19118 CUAUHTEMOC CONSTITUCION,19.33382,-103.60336,1
93100,31163,31163 AVENIDA MEXICO,20.669345,-105.22637,1
91000,51036,51036 PASEO DE LOS PARQUES,20.567171,-103.355176,2
91000,19051,19051 CUMBRE,19.21229,-103.72179,1
91000,13075,13075 CRUCERO LA FRONTERA,19.95973648,-103.7125457,1
91000,19032,19032 GAS LIBRAMIENTO,19.22347,-103.71181,1
91000,14093,14093 MIGUEL DE LA MADRID,19.108891,-104.33619,2
91000,12023,12023 PERIQUILLO,18.96004563,-103.9532178,1
91000,13061,13061 TECALITLAN,19.464955,-103.303015,1
91000,19107,19107 SUCHITLAN,19.37762,-103.71586,1
95500,54031,54031 GAS LIBRAMIENTO,21.46852,-104.849319,1
93100,31156,31156 LA DESEMBOCADA,20.728395,-105.159335,1
95500,54090,54090 LERDO DE TEJADA,21.51762,-104.9048,1
91000,14019,14019 MARBELLA,19.09859803,-104.3234493,2
95500,54001,54001 AGUAMILPA,21.494643,-104.828419,1
95500,54003,54003 INFONAVIT SOLIDARIDAD,21.52135,-104.933135,1
91000,14005,14005 MALECON,19.05348132,-104.3131173,1
91000,19137,19137 GLORIETA LAS TORRES,19.250587,-103.686427,1
91000,14047,14047 GAS RAMCAL,19.03536925,-104.2106872,2
91000,19091,19091 MIRADOR DE LA CUMBRE,19.22675,-103.6976,1
91000,12037,12037 DE LOS MAESTROS,18.896838,-103.876669,2
91000,13041,13041 ZAPOTILTIC HIDALGO,19.62819,-103.422218,1
91000,13024,13024 GAS CARCO ZAPOTILTIC,19.630304,-103.464892,2
93100,31077,31077 HIPODROMO,20.668092,-105.215422,1
91000,14016,14016 PEZ VELA,19.07907723,-104.2866939,2
91000,19011,19011 ALBARRADA,19.23951,-103.73835,1
91000,13037,13037 DONATO GUERRA,19.76516,-104.369,1
95500,54056,54056 SAN BLAS,21.54104,-105.285795,1
91000,13049,13049 HOSPITAL AUTLAN,19.769045,-104.354347,2
91000,19145,19145 AGUA MARINA,19.260385,-103.761085,1
93100,31105,31105 PAVO REAL,20.639668,-105.214097,1
91000,19098,19098 SOLIDARIDAD,19.29917,-103.73841,1
95500,54076,54076 JUAN ESCUTIA,21.512414,-104.900628,1
91000,13025,13025 PAEZ STILLE,19.68371827,-103.4770886,1
91000,51057,51057 SAN JAVIER,20.66386,-103.71176,1
91000,19130,19130 GAS BENITO JUAREZ,19.24654,-103.74753,1
91000,12009,12009 GAS VALLE NUEVO,18.90638949,-103.8776716,1
91000,19108,19108 VILLAS PROVIDENCIA,19.26596,-103.75251,1
91000,19113,19113 ARBOLEDAS DE CARMEN,19.278606,-103.729565,1
91000,13063,13063 CAMINO A SAN GABRIEL,19.942456,-103.771633,1
95500,54103,54103 RUINAS JAUJA,21.526475,-104.892947,2
91000,19128,19128 COFRADIA DE SUCHITLAN,19.4092,-103.69674,1
91000,12026,12026 GAS LIMONERO,18.94039117,-103.8943726,1
95500,54068,54068 ESTRELLA DE MAR,21.516336,-104.920007,1
91000,19104,19104 GAS PUEBLO JUAREZ,19.16754,-103.92251,1
91000,12003,12003 POLIDEPORTIVO,18.92526763,-103.8807287,2
91000,19014,19014 SAN FERNANDO,19.25091,-103.72057,1
91000,19013,19013 CONSTITUCION,19.25825,-103.71494,1
91000,19081,19081 REAL BUGAMBILIAS,19.28119,-103.7381,1
93100,31072,31072 LOS AYALA,21.024442,-105.285322,1
91000,13059,13059 ALAMEDA,19.768228,-104.363103,2
91000,14100,14100 NUEVA ESPAÑA,19.210531,-104.68032,1
91000,19115,19115 ROMANZA,19.28851,-103.70852,1
91000,19016,19016 REY COLIMAN,19.23055,-103.7227,1
91000,19075,19075 AGUILAR COQUI,19.20131,-103.80961,1
91000,19095,19095 LOMAS VISTA HERMOSA,19.25497,-103.71819,1
91000,19102,19102 GAS TONILA,19.40512,-103.54127,1
91000,51062,51062 ABASOLO,20.22118,-103.576017,1
91000,19138,19138 UNIDAD DEPORTIVA COMALA,19.32918,-103.75305,1
91000,13094,13094 GAS SOYATLAN,19.685646,-103.292574,1
91000,19023,19023 LOS MAESTROS,19.25578,-103.72674,1
93100,31082,31082 GAS SAN VICENTE,20.75096,-105.24698,1
91000,19089,19089 MONTELLANO,19.28862,-103.75487,1
93100,31010,31010 LOS PATOS,20.6636233,-105.231999,2
91000,19099,19099 ALTOZANO,19.31376,-103.67099,1
91000,12035,12035 20 DE NOVIEMBRE,18.910443,-103.875815,1
91000,14009,14009 TAPEIXTLES,19.07435799,-104.2827596,1
91000,51045,51045 ZACOALCO,20.23075,-103.57832,1
93100,31057,31057 VALLE DORADO,20.71560257,-105.2741843,1
91000,19020,19020 PABLO SILVA,19.2566,-103.75377,1
91000,19111,19111 BOSQUES DEL SUR,19.22377,-103.73568,1
93100,31113,31113 MANANTIAL,20.600411,-105.223446,2
91000,14015,14015 GAS SANTIAGO,19.11997137,-104.3579418,1
95500,54046,54046 MARCOS PARTIDA,21.497931,-104.890008,1
91000,13008,13008 GAS SAN ANDRES,19.8154494,-103.4900422,1
